Hero,Pick Rate,Win Rate,Ban Rate,Best Counter For,Role,Best Lane
Lolita,0.69%,62.98%,6.75%,"['Granger', 'Cyclops', 'Diggie', 'Bane', 'Bruno']","['Support', 'Tank']",['roam']
Freya,0.99%,59.53%,57.75%,"['Faramis', 'Diggie', 'Mathilda', 'Balmond', 'Estes']",['Fighter'],['exp lane']
Zhask,1.94%,59.47%,63.89%,"['Lolita', 'Alice', 'Phoveus', 'Jawhead', 'Zhuxin']",['Mage'],['mid lane']
Chip,0.66%,57.62%,70.51%,"['Baxia', 'Aldous', 'Grock', 'Hayabusa', 'Valentina']","['Support', 'Tank']",['roam']
Edith,1.52%,56.71%,2.95%,"['Alice', 'Julian', 'Belerick', 'Fredrinn', 'Hayabusa']","['Tank', 'Marksman']","['exp lane', 'roam']"
Diggie,0.49%,56.06%,13.77%,"['Karrie', 'Silvanna', 'Eudora', 'Karina', 'Alpha']",['Support'],['roam']
Zhuxin,0.91%,55.65%,85.99%,"['Natalia', 'Lolita', 'Aldous', 'Barats', 'Aulus']",['Mage'],['mid lane']
Harith,1.45%,54.87%,5.61%,"['Grock', 'Atlas', 'X.Borg', 'Terizla', 'Alpha']",['Mage'],"['mid lane', 'gold lane']"
Ruby,2.85%,54.82%,13.17%,"['Joy', 'Sun', 'Hayabusa', 'Gloo', 'Masha']",['Fighter'],['exp lane']
Terizla,3.86%,54.79%,34.36%,"['Popol and Kupa', 'Hilda', 'Baxia', 'Khufra', 'Johnson']","['Fighter', 'Tank']",['exp lane']
Faramis,0.49%,54.59%,0.55%,"['Gloo', 'Kimmy', 'Valir', 'Sun', 'Minsitthar']","['Support', 'Mage']",['mid lane']
Popol and Kupa,0.86%,54.47%,11.55%,"['Balmond', 'Zilong', 'Phoveus', 'Harley', 'Cyclops']",['Marksman'],"['jungler', 'gold lane']"
Yve,0.18%,54.07%,0.06%,"['Balmond', 'Belerick', 'Jawhead', 'Alice', 'Hanabi']",['Mage'],['mid lane']
