Hero,Win Rate,Pick Rate,Ban Rate,Best Lane,Role,Image
Miya,50.97%,2.99%,2.55%,['gold lane'],['Marksman'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da894b37bfb5cadb32307f371f31918a.png
Balmond,44.17%,0.65%,0.32%,['jungler'],['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4df4ce8528166d6e1cc94480f4f0e910.png
Saber,49.11%,1.00%,61.90%,"['jungler', 'roam']",['Assassin'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_6bbfac806f29d29f17fea9e98d2d2fee.png
Alice,50.84%,0.09%,0.16%,"['exp lane', 'jungler']","['Mage', 'Tank']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_558cf35ad7d5f0cc4f0b4cbdf9498f9f.png
Nana,47.53%,2.40%,42.23%,['mid lane'],['Mage'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ee1e0d80d87bb614a0c552ef028f85ce.png
Tigreal,48.84%,2.26%,31.44%,['roam'],['Tank'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8b30576754be1a4f8bebd09df8d6bec7.png
Alucard,50.52%,1.56%,3.02%,['jungler'],"['Fighter', 'Assassin']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0f51b6906e08897aa02330d65b0deeac.png
Karina,45.47%,0.75%,6.64%,['jungler'],['Assassin'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f49394186dc0e55d545da8377be83280.png
Akai,49.46%,0.32%,0.42%,"['roam', 'jungler']",['Tank'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28f223447f0174336ff0922d364d81d3.png
Franco,46.43%,2.03%,6.58%,['roam'],['Tank'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_2928027062e3c2a97bc3fd4a84897012.png
Bane,52.99%,1.01%,1.31%,"['jungler', 'exp lane']","['Fighter', 'Mage']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_7e4e74bb161da0f477cc0d1819fa39e6.png
Bruno,50.90%,0.45%,0.16%,['gold lane'],['Marksman'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff39deb9c6afec3d977fdbe9d86f78cb.png
Clint,50.53%,0.97%,1.52%,['gold lane'],['Marksman'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_5a8345c69a4c9c611fdfce91089fe74a.png
Rafaela,51.53%,0.31%,0.70%,['roam'],['Support'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68277dce415742c4a98883151c693a07.png
Eudora,48.25%,1.15%,2.76%,['mid lane'],['Mage'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_60956060c4cbb86f3c6343da05b70568.png
Zilong,47.73%,1.39%,0.80%,['exp lane'],"['Fighter', 'Assassin']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9db57da4f0daef6d432676e4f19101ed.png
Fanny,43.31%,0.88%,14.03%,['jungler'],['Assassin'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3391df36d6dcc54dd1c417098e15ec59.png
Layla,49.43%,2.62%,2.75%,['gold lane'],['Marksman'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b2b38e9406ea0de0b866db7674feea0f.png
Minotaur,51.66%,0.61%,5.66%,['roam'],"['Tank', 'Support']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3ecd2c0843df7ec85044dafff6bf4553.png
Lolita,61.56%,0.21%,1.11%,['roam'],"['Support', 'Tank']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_474cea36a4bfdc7bf7d94530853a99b2.png
Hayabusa,51.93%,0.96%,54.20%,['jungler'],['Assassin'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_9cc074562291a02644a0ddae28eeaa42.png
Freya,48.67%,0.54%,2.15%,['exp lane'],['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85ecfab713c877196d4b9e44a2aa2f6a.png
Gord,50.85%,0.36%,0.34%,['mid lane'],['Mage'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_8e459d236f8839e9db8a9af76bfaa333.png
Natalia,51.23%,0.32%,2.35%,['roam'],['Assassin'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_fbb5065b6ff174d1a20ccf5b7f523514.png
Kagura,50.45%,0.66%,0.50%,['mid lane'],['Mage'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_da424b020b8ac8235d64a1b8a09aa749.png
Chou,46.83%,1.32%,1.42%,"['exp lane', 'roam']",['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_158209b180032c4564b8f3bde8c48888.png
Sun,51.58%,1.02%,3.49%,"['exp lane', 'jungler']",['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_117b5cdcc13232157075ce7b7f6177e9.png
Alpha,50.61%,2.34%,3.16%,"['jungler', 'exp lane']",['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_86c9f91f530727db6498f920d19180d1.png
Ruby,53.55%,0.84%,0.94%,['exp lane'],['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_4b96c75b136290576d849309722d4d20.png
Yi Sun-shin,52.90%,0.20%,0.11%,['jungler'],"['Assassin', 'Marksman']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_961378be3f498d42c25b3defd1635ad1.png
Moskov,50.42%,2.14%,9.19%,['gold lane'],['Marksman'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a60a866ab6752a7f66766e720da987ea.png
Johnson,48.19%,1.11%,4.50%,['roam'],"['Tank', 'Support']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_85ff988c6660b4d04f8dd3d40df988bb.png
Cyclops,50.29%,0.50%,0.19%,['mid lane'],['Mage'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_68da456f9c01b2f88d29ee320db181ed.png
Estes,48.45%,0.68%,67.48%,['roam'],['Support'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_ff4de3b0aabd1d2f6e184db1c831f6a9.png
Hilda,50.07%,0.42%,0.46%,"['roam', 'exp lane']","['Fighter', 'Tank']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_acd700708dc515f5c63a08f8835a9941.png
Aurora,51.29%,0.47%,1.81%,['mid lane'],['Mage'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_f9b2be0150361018bb98f941b9667c42.png
Lapu-Lapu,46.73%,0.24%,0.06%,['exp lane'],['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_28036c4584c914c5aad4d2feeafb2452.png
Vexana,51.64%,2.37%,8.26%,['mid lane'],['Mage'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_743edd1702084c4ed247908d698bca77.png
Roger,51.11%,2.04%,12.96%,['jungler'],"['Fighter', 'Marksman']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_b40e578f13465b3ae99d0a9baac7ecc9.png
Karrie,45.96%,0.68%,0.19%,['gold lane'],['Marksman'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_294576f2bd0dcbcc9041031969d0eb09.png
Gatotkaca,54.55%,2.45%,7.04%,"['roam', 'exp lane']","['Tank', 'Fighter']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_96f9dbbc096e0f0a28f9b9e587d06a9c.png
Harley,52.28%,0.97%,20.03%,['jungler'],"['Assassin', 'Mage']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_3aa6964c07a70f9b125da447f320e1ac.png
Irithel,51.43%,0.37%,0.18%,['gold lane'],['Marksman'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_a7c51b517dbce49dac4e537bd4ab4f87.png
Grock,46.68%,0.13%,0.07%,['roam'],"['Tank', 'Fighter']",https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_36822d5dd75500966a5e0febc7dff059.png
Argus,56.39%,0.44%,1.56%,['exp lane'],['Fighter'],https://akmweb.youngjoygame.com/web/svnres/img/mlbb/homepage/100_0bd96658e5b8ec578226ea1622bd7231.png
